Id,Name,AccountId,StageName,Amount,Probability,CloseDate,Type,LeadSource,IsClosed,IsWon,ForecastCategory,CreatedDate,LastModifiedDate,SystemModstamp
0061234567890BBB11,Project Management Suite,0011234567890AAA11,Negotiation/Review,275000,80,2025-02-15,New Business,Referral,false,false,Commit,2024-10-10T10:05:00.000Z,2025-01-08T11:30:00.000Z,2025-01-08T11:30:00.000Z
0061234567890BBB12,Content Management Platform,0011234567890AAA12,Proposal/Price Quote,185000,65,2025-03-10,Existing Business,Partner,false,false,Best Case,2024-11-18T12:25:00.000Z,2025-01-05T15:10:00.000Z,2025-01-05T15:10:00.000Z
0061234567890BBB13,Clinical Trial Software,0011234567890AAA13,Closed Won,620000,100,2024-10-25,New Business,Conference,true,true,Closed,2024-04-15T14:50:00.000Z,2024-10-25T13:35:00.000Z,2024-10-25T13:35:00.000Z
0061234567890BBB14,Hotel Management System,0011234567890AAA14,Perception Analysis,198000,55,2025-04-30,New Business,Web,false,false,Best Case,2024-11-05T09:30:00.000Z,2025-01-06T12:20:00.000Z,2025-01-06T12:20:00.000Z
0061234567890BBB15,Network Infrastructure Upgrade,0011234567890AAA15,Closed Won,475000,100,2024-11-15,Existing Business,Existing Customer,true,true,Closed,2024-07-20T11:10:00.000Z,2024-11-15T15:55:00.000Z,2024-11-15T15:55:00.000Z
0061234567890BBB16,Claims Processing System,0011234567890AAA16,Needs Analysis,340000,35,2025-05-15,New Business,Partner,false,false,Pipeline,2024-12-01T10:45:00.000Z,2025-01-07T14:05:00.000Z,2025-01-07T14:05:00.000Z
0061234567890BBB17,Route Optimization Software,0011234567890AAA17,Value Proposition,220000,50,2025-03-25,New Business,Trade Show,false,false,Pipeline,2024-10-30T13:15:00.000Z,2025-01-04T11:25:00.000Z,2025-01-04T11:25:00.000Z
0061234567890BBB18,Laboratory Information System,0011234567890AAA18,Qualification,295000,25,2025-06-30,New Business,Web,false,false,Pipeline,2024-12-10T14:30:00.000Z,2025-01-08T16:40:00.000Z,2025-01-08T16:40:00.000Z
0061234567890BBB19,Property Management Platform,0011234567890AAA19,Negotiation/Review,365000,70,2025-02-20,New Business,Referral,false,false,Commit,2024-10-15T11:50:00.000Z,2025-01-05T10:30:00.000Z,2025-01-05T10:30:00.000Z
0061234567890BBB20,Production Tracking System,0011234567890AAA20,Proposal/Price Quote,410000,60,2025-03-20,Existing Business,Existing Customer,false,false,Best Case,2024-11-08T12:35:00.000Z,2025-01-06T13:15:00.000Z,2025-01-06T13:15:00.000Z
0061234567890BBB21,Cloud Infrastructure Services,0011234567890AAA21,Id. Decision Makers,285000,45,2025-04-15,New Business,Partner,false,false,Pipeline,2024-11-20T10:20:00.000Z,2025-01-03T15:50:00.000Z,2025-01-03T15:50:00.000Z
0061234567890BBB22,Precision Farming Platform,0011234567890AAA22,Closed Won,175000,100,2024-11-28,New Business,Trade Show,true,true,Closed,2024-07-15T09:40:00.000Z,2024-11-28T14:25:00.000Z,2024-11-28T14:25:00.000Z
0061234567890BBB23,Access Control System,0011234567890AAA23,Proposal/Price Quote,140000,55,2025-03-05,New Business,Web,false,false,Pipeline,2024-10-25T13:05:00.000Z,2025-01-07T11:45:00.000Z,2025-01-07T11:45:00.000Z
0061234567890BBB24,E-commerce Platform,0011234567890AAA24,Needs Analysis,530000,40,2025-05-20,New Business,Referral,false,false,Pipeline,2024-11-30T11:55:00.000Z,2025-01-08T12:30:00.000Z,2025-01-08T12:30:00.000Z
0061234567890BBB25,Inventory Management System,0011234567890AAA25,Negotiation/Review,395000,75,2025-02-10,Existing Business,Existing Customer,false,false,Commit,2024-10-18T14:40:00.000Z,2025-01-04T16:10:00.000Z,2025-01-04T16:10:00.000Z
0061234567890BBB26,Agile Development Tools,0011234567890AAA26,Prospecting,85000,15,2025-07-30,New Business,Web,false,false,Pipeline,2024-12-20T10:15:00.000Z,2025-01-09T14:55:00.000Z,2025-01-09T14:55:00.000Z
0061234567890BBB27,Process Control System,0011234567890AAA27,Closed Won,680000,100,2024-10-15,New Business,Employee Referral,true,true,Closed,2024-05-10T13:20:00.000Z,2024-10-15T15:40:00.000Z,2024-10-15T15:40:00.000Z
0061234567890BBB28,Business Intelligence Suite,0011234567890AAA28,Value Proposition,165000,50,2025-04-10,New Business,Conference,false,false,Pipeline,2024-11-15T12:30:00.000Z,2025-01-05T13:25:00.000Z,2025-01-05T13:25:00.000Z
0061234567890BBB29,Production Scheduling Software,0011234567890AAA29,Proposal/Price Quote,325000,60,2025-03-18,New Business,Partner,false,false,Best Case,2024-10-28T09:50:00.000Z,2025-01-06T14:35:00.000Z,2025-01-06T14:35:00.000Z
0061234567890BBB30,Environmental Monitoring,0011234567890AAA30,Qualification,205000,30,2025-06-10,New Business,Trade Show,false,false,Pipeline,2024-12-05T11:20:00.000Z,2025-01-08T10:50:00.000Z,2025-01-08T10:50:00.000Z
0061234567890BBB31,Satellite Communication System,0011234567890AAA31,Closed Won,1250000,100,2024-09-30,New Business,Partner,true,true,Closed,2024-02-15T14:10:00.000Z,2024-09-30T16:30:00.000Z,2024-09-30T16:30:00.000Z
0061234567890BBB32,Case Management Software,0011234567890AAA32,Needs Analysis,155000,35,2025-05-25,New Business,Referral,false,false,Pipeline,2024-11-28T10:40:00.000Z,2025-01-07T15:15:00.000Z,2025-01-07T15:15:00.000Z
0061234567890BBB33,Smart Packaging Solutions,0011234567890AAA33,Id. Decision Makers,195000,45,2025-04-25,New Business,Web,false,false,Pipeline,2024-11-22T13:25:00.000Z,2025-01-03T12:40:00.000Z,2025-01-03T12:40:00.000Z
0061234567890BBB34,Data Warehouse Implementation,0011234567890AAA34,Negotiation/Review,445000,80,2025-02-25,New Business,Conference,false,false,Commit,2024-10-12T11:35:00.000Z,2025-01-09T11:20:00.000Z,2025-01-09T11:20:00.000Z
0061234567890BBB35,Member Management Platform,0011234567890AAA35,Closed Lost,92000,0,2024-12-15,New Business,Cold Call,true,false,Omitted,2024-08-20T12:15:00.000Z,2024-12-15T14:50:00.000Z,2024-12-15T14:50:00.000Z
0061234567890BBB36,Warehouse Management System,0011234567890AAA36,Proposal/Price Quote,385000,65,2025-03-12,New Business,Partner,false,false,Best Case,2024-11-10T09:30:00.000Z,2025-01-05T16:25:00.000Z,2025-01-05T16:25:00.000Z
0061234567890BBB37,Campaign Management Tools,0011234567890AAA37,Perception Analysis,215000,55,2025-04-18,New Business,Trade Show,false,false,Best Case,2024-11-18T14:20:00.000Z,2025-01-06T12:10:00.000Z,2025-01-06T12:10:00.000Z
0061234567890BBB38,Online Gaming Platform,0011234567890AAA38,Qualification,335000,25,2025-07-10,New Business,Web,false,false,Pipeline,2024-12-18T10:45:00.000Z,2025-01-08T14:30:00.000Z,2025-01-08T14:30:00.000Z
0061234567890BBB39,Asset Tracking System,0011234567890AAA39,Closed Won,565000,100,2024-10-08,New Business,Employee Referral,true,true,Closed,2024-04-25T13:30:00.000Z,2024-10-08T15:20:00.000Z,2024-10-08T15:20:00.000Z
0061234567890BBB40,Digital Publishing Platform,0011234567890AAA40,Needs Analysis,145000,40,2025-05-12,New Business,Referral,false,false,Pipeline,2024-12-02T11:50:00.000Z,2025-01-07T13:45:00.000Z,2025-01-07T13:45:00.000Z
0061234567890BBB41,Energy Management System,0011234567890AAA41,Value Proposition,425000,50,2025-03-28,New Business,Conference,false,false,Pipeline,2024-11-08T12:10:00.000Z,2025-01-04T14:20:00.000Z,2025-01-04T14:20:00.000Z
0061234567890BBB42,Event Ticketing Platform,0011234567890AAA42,Prospecting,95000,20,2025-06-20,New Business,Web,false,false,Pipeline,2024-12-22T09:35:00.000Z,2025-01-09T11:55:00.000Z,2025-01-09T11:55:00.000Z
0061234567890BBB43,Manufacturing Execution System,0011234567890AAA43,Negotiation/Review,485000,75,2025-02-18,Existing Business,Existing Customer,false,false,Commit,2024-10-22T14:05:00.000Z,2025-01-05T12:45:00.000Z,2025-01-05T12:45:00.000Z
0061234567890BBB44,3D Visualization Tools,0011234567890AAA44,Proposal/Price Quote,175000,60,2025-03-22,New Business,Partner,false,false,Best Case,2024-11-12T10:55:00.000Z,2025-01-06T15:30:00.000Z,2025-01-06T15:30:00.000Z
0061234567890BBB45,Wealth Management Platform,0011234567890AAA45,Closed Won,295000,100,2024-12-10,New Business,Referral,true,true,Closed,2024-08-05T13:45:00.000Z,2024-12-10T16:15:00.000Z,2024-12-10T16:15:00.000Z
0061234567890BBB46,SCADA System Implementation,0011234567890AAA46,Needs Analysis,325000,35,2025-05-18,New Business,Trade Show,false,false,Pipeline,2024-12-08T11:30:00.000Z,2025-01-08T10:40:00.000Z,2025-01-08T10:40:00.000Z
0061234567890BBB47,Practice Management Software,0011234567890AAA47,Id. Decision Makers,135000,45,2025-04-08,New Business,Web,false,false,Pipeline,2024-11-25T12:20:00.000Z,2025-01-03T14:15:00.000Z,2025-01-03T14:15:00.000Z
0061234567890BBB48,IIOT Platform Deployment,0011234567890AAA48,Closed Won,715000,100,2024-10-20,New Business,Conference,true,true,Closed,2024-05-15T10:30:00.000Z,2024-10-20T14:45:00.000Z,2024-10-20T14:45:00.000Z
0061234567890BBB49,Survey Management Platform,0011234567890AAA49,Closed Lost,75000,0,2024-12-28,New Business,Cold Call,true,false,Omitted,2024-09-10T11:15:00.000Z,2024-12-28T15:35:00.000Z,2024-12-28T15:35:00.000Z
0061234567890BBB50,Security Operations Center,0011234567890AAA50,Proposal/Price Quote,555000,70,2025-02-28,New Business,Employee Referral,false,false,Commit,2024-10-28T13:50:00.000Z,2025-01-09T13:05:00.000Z,2025-01-09T13:05:00.000Z
0061234567890BBB51,Mobile App Development,0011234567890AAAA1,Prospecting,125000,25,2025-06-15,New Business,Web,false,false,Pipeline,2024-12-12T10:20:00.000Z,2025-01-07T12:35:00.000Z,2025-01-07T12:35:00.000Z
0061234567890BBB52,Business Continuity Platform,0011234567890AAAA2,Value Proposition,265000,50,2025-04-05,New Business,Partner,false,false,Pipeline,2024-11-15T11:40:00.000Z,2025-01-04T15:40:00.000Z,2025-01-04T15:40:00.000Z
0061234567890BBB53,Telemedicine Platform,0011234567890AAAA3,Negotiation/Review,385000,75,2025-02-22,New Business,Referral,false,false,Commit,2024-10-20T12:50:00.000Z,2025-01-08T14:20:00.000Z,2025-01-08T14:20:00.000Z
0061234567890BBB54,Digital Signage Network,0011234567890AAAA4,Perception Analysis,95000,55,2025-03-30,New Business,Trade Show,false,false,Best Case,2024-11-22T09:25:00.000Z,2025-01-05T11:50:00.000Z,2025-01-05T11:50:00.000Z
0061234567890BBB55,Risk Management Software,0011234567890AAAA5,Closed Won,475000,100,2024-11-18,Existing Business,Existing Customer,true,true,Closed,2024-07-10T14:35:00.000Z,2024-11-18T16:50:00.000Z,2024-11-18T16:50:00.000Z
0061234567890BBB56,Virtual Classroom Platform,0011234567890AAAA6,Needs Analysis,155000,35,2025-05-28,New Business,Web,false,false,Pipeline,2024-12-03T10:50:00.000Z,2025-01-06T13:40:00.000Z,2025-01-06T13:40:00.000Z
0061234567890BBB57,Renewable Energy Analytics,0011234567890AAAA7,Proposal/Price Quote,345000,65,2025-03-16,New Business,Conference,false,false,Best Case,2024-11-05T13:15:00.000Z,2025-01-09T12:15:00.000Z,2025-01-09T12:15:00.000Z
0061234567890BBB58,Passenger Information System,0011234567890AAAA8,Closed Won,285000,100,2024-12-05,New Business,Partner,true,true,Closed,2024-08-15T11:25:00.000Z,2024-12-05T15:30:00.000Z,2024-12-05T15:30:00.000Z
0061234567890BBB59,Procurement Management,0011234567890AAAA9,Qualification,195000,30,2025-06-25,New Business,Referral,false,false,Pipeline,2024-12-16T12:40:00.000Z,2025-01-08T11:05:00.000Z,2025-01-08T11:05:00.000Z
0061234567890BBB60,Collaboration Suite,0011234567890AAA10,Prospecting,65000,20,2025-07-20,New Business,Web,false,false,Pipeline,2024-12-28T09:55:00.000Z,2025-01-09T15:45:00.000Z,2025-01-09T15:45:00.000Z
